Genre,Ranks,Product,Author,Links,Price,Rating,Reviews
All,78,Arihant CBSE Term 2 Science Class 10 Sample Question Papers (As per CBSE Term 2 Sample Paper Issued on 14 Jan 2022),Manish Dangwal,https://amazon.in/Arihant-Science-Sample-Question-Papers/dp/9325798980/ref=zg_bs_books_28/259-2992512-9024531?pd_rd_i=9325798980&psc=1,108.00,4.3,16
All,79,Coffee Can Investing: The Low Risk Road to Stupendous Wealth,Saurabh Mukherjea,https://amazon.in/Coffee-Can-Investing-Stupendous-Wealth/dp/067009045X/ref=zg_bs_books_29/259-2992512-9024531?pd_rd_i=067009045X&psc=1,368.00,4.5,"3,045"
All,80,"Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",Oxford University Press,https://amazon.in/Oxford-Student-Atlas-India-Fourth/dp/9391050840/ref=zg_bs_books_30/259-2992512-9024531?pd_rd_i=9391050840&psc=1,225.00,4.2,NA
All,81,"Blossom Moral Story Book for Kids 1 Years to 10 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best Bedtime Children Story Book | Short Stories for Infants, Toddlers | Book A",Content Team at Target Publications,https://amazon.in/Blossom-English-Colourful-Pictures-Children/dp/B0845PS3QW/ref=zg_bs_books_81/259-2992512-9024531?pd_rd_i=B0845PS3QW&psc=1,80.00,4.4,NA
All,82,Secondary School Mathematics for Class 9 - CBSE - by R.S. Aggarwal Examination 2022-2023,R.S. Aggarwal,https://amazon.in/Secondary-School-Mathematics-Class-Examination/dp/9350271850/ref=zg_bs_books_82/259-2992512-9024531?pd_rd_i=9350271850&psc=1,455.00,4.5,"1,557"
All,83,Mathematics For Class 8 (Examination 2020-2021),R.D. Sharma,https://amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/818992804X/ref=zg_bs_books_83/259-2992512-9024531?pd_rd_i=818992804X&psc=1,425.00,4.6,"3,006"
All,84,Cellsius & NEET kaka JEE,Cellsius & NEET kaka JEE,https://amazon.in/Physics-Formula-Chart-Cellsius-NEET/dp/B09XRCMHY2/ref=zg_bs_books_84/259-2992512-9024531?pd_rd_i=B09XRCMHY2&psc=1,199.00,NA,NA
All,85,Manorama English Yearbook 2022,Mammen Mathew,https://amazon.in/Manorama-English-Yearbook-Mammen-Mathew/dp/8195407277/ref=zg_bs_books_85/259-2992512-9024531?pd_rd_i=8195407277&psc=1,276.00,4.6,514
All,86,Price Action Trading : Technical Analysis Simplified!,Sunil Gurjar (Chartmojo),https://amazon.in/Price-Action-Trading-Technical-Simplified/dp/8195261612/ref=zg_bs_books_86/259-2992512-9024531?pd_rd_i=8195261612&psc=1,310.00,4.3,NA
All,87,"Oswaal CBSE Question Bank Chapterwise For Term 2, Class 10, Mathematics (Standard) (For 2022 Exam)",Oswaal Editorial Board,https://amazon.in/Oswaal-Question-Chapterwise-Mathematics-Standard/dp/9354636675/ref=zg_bs_books_87/259-2992512-9024531?pd_rd_i=9354636675&psc=1,185.00,4.4,200
